0,1,2
1054,MANDRINO_POSICION_ACTUAL,java.lang.Integer
1041,,java.lang.Integer
925,HEAD_INDEX_MOUNTED,java.lang.Integer
1023,EJE_4_UTILIZACION_MOTOR,java.lang.Integer
982,PROG_FINISHED,java.lang.Integer
914,OP_MODE_MANUAL,java.lang.Integer
1045,PROGRAMA_SELECTED_2,java.lang.String
1006,EJE_X_AVANCES_PERMITIDOS,java.lang.Integer
926,PROG_CANCELLED,java.lang.Integer
920,PROG_SUB,java.lang.String
931,MANDRINO_N_SELECIONADO,java.lang.Byte
1060,MANDRINO_CONSUMO_1,java.lang.Integer
1064,EJE_8_POSICION_ACTUAL_REFERENCIA,java.lang.Integer
966,CONVETOR_ALARM,java.lang.Boolean
933,OP_MODE_RUN,java.lang.Integer
1047,C2,java.lang.Double
1051,CONFIG_NUMERO_EJES,java.lang.Integer
974,ATC_STAGE_CAD2,java.lang.Byte
1056,EJE_7_UTILIZACION_MOTOR,java.lang.Integer
1004,CONVEYOR_3_INVERTER,java.lang.Boolean
