0,1,2
1054,MANDRINO_POSICION_ACTUAL,java.lang.Integer
1041,,java.lang.Integer
925,HEAD_INDEX_MOUNTED,java.lang.Integer
1023,EJE_4_UTILIZACION_MOTOR,java.lang.Integer
982,PROG_FINISHED,java.lang.Integer
914,OP_MODE_MANUAL,java.lang.Integer
1045,PROGRAMA_SELECTED_2,java.lang.String
1006,EJE_X_AVANCES_PERMITIDOS,java.lang.Integer
926,PROG_CANCELLED,java.lang.Integer
920,PROG_SUB,java.lang.String
931,MANDRINO_N_SELECIONADO,java.lang.Byte
1060,MANDRINO_CONSUMO_1,java.lang.Integer
1064,EJE_8_POSICION_ACTUAL_REFERENCIA,java.lang.Integer
966,CONVETOR_ALARM,java.lang.Boolean
933,OP_MODE_RUN,java.lang.Integer
1047,C2,java.lang.Double
1051,CONFIG_NUMERO_EJES,java.lang.Integer
974,ATC_STAGE_CAD2,java.lang.Byte
1056,EJE_7_UTILIZACION_MOTOR,java.lang.Integer
1004,CONVEYOR_3_INVERTER,java.lang.Boolean
945,OP_MODE_SINGLE_BLOCK,java.lang.Integer
997,OP_MODE_STANDBY,java.lang.Boolean
1048,MANDRINO_M4_ACTIVA,java.lang.Boolean
941,DILATACIONES_CORRECCION_TRANSVERSAL,java.lang.Integer
1058,MANDRINO_M3_ACTIVA,java.lang.Boolean
1061,TEMPERATURA_MOTOR_8,java.lang.Integer
1053,TEMPERATURA_MOTOR_7,java.lang.Integer
1046,C1,java.lang.Double
1067,PROG_STATUS,java.lang.Integer
1272,TOUCH_PROBE_IN_S2,java.lang.Boolean
1190,TEMPERATURE_MOTOR_10,java.lang.Integer
1253,TEMPERATURE_E5E_ROD_2,java.lang.Integer
981,OP_MODE_MDI,java.lang.Integer
1165,SEMAPHORE_GREEN,java.lang.Boolean
1106,GEAR_CHANGE_COUNTER,java.lang.Integer
1227,COUNTER_CYCLE_330_WITH_UAD,java.lang.Integer
1215,COUNTER_CONFIGURATION_CHANGES,java.lang.Integer
1081,COUNTER_CYCLE_WARMING_WEEKEND,java.lang.Integer
1247,MODE_OPERATIONAL_CONTROL,java.lang.Boolean
1103,GEAR_CHANGE_COUNTER_1,java.lang.Integer
1156,ZONE_3_ACTIVE,java.lang.Boolean
1115,TOOL_MEASURING_CYCLE_ACTIVE,java.lang.Boolean
1134,COUNTER_CYCLE_330_WITH_C5E,java.lang.Integer
1299,AXIS_PT4_3_FOLLOWING_ERROR,
1278,GEAR_CHANGE_COUNTER_0,java.lang.Integer
1147,COUNTER_M885_WARMING,java.lang.Integer
1222,SEMAPHORE_RED,java.lang.Boolean
1104,COUNTER_CYCLE_330_WITH_FD,java.lang.Integer
1101,ATC_ERROR_827_COUNTER,java.lang.Integer
935,COOLANT_INTERNAL,java.lang.Boolean
1151,FUNCTION_M_128,java.lang.Boolean
1173,AXIS_5_ACTUAL_ENCODER_POSITION,java.lang.Integer
1110,GEAR_CHANGE_COUNTER_2,java.lang.Integer
1142,AXIS_10_ACTUAL_ENCODER_POSITION,java.lang.Integer
1212,AXIS_4_ACTUAL_ENCODER_POSITION,java.lang.Integer
1114,GEAR_CHANGE_COUNTER_4,java.lang.Integer
1094,SPINDLE_2_TEMPERATURE,java.lang.Integer
1087,TEMPERATURE_SPINDLE_2,java.lang.Integer
1121,ACT_COUNTER_AUTO_TOOL_CHANGES_VERTICAL,java.lang.Integer
1203,TEMPERATURE_MOTOR_4,java.lang.Integer
1131,PROGRAM_CANCELLED,java.lang.Boolean
942,MACHINE_STOP_ACTIVE,java.lang.Boolean
1132,PROGRAM_RUN,java.lang.Boolean
992,MACHINE_IN_OPERATION,java.lang.Boolean
1238,AXIS_C2_ENCODER_POSITION,java.lang.Integer
1111,ACTIVE_NC_MACRO,java.lang.Integer
1260,SPINDLE_1_POSITIONING_STATUS,java.lang.Boolean
1112,GEAR_CHANGE_COUNTER_3,java.lang.Integer
1276,GEAR_CHANGE_RETRIES_PER_CHANGE,java.lang.Integer
1118,ATC_ERROR_930_COUNTER,java.lang.Integer
1127,COUNTER_M629,java.lang.Integer
1180,HEAD_C1_CROWN_2_UNLOCK_ORDER,java.lang.Boolean
1128,COUNTER_CYCLE_WARMING_LOW_TEMPERATURE,java.lang.Integer
1135,DILATATION_CORRECTION_AXIAL_HEAD,java.lang.Integer
1141,ATC_COUNTER_ERRORS,java.lang.Integer
1066,EJE_9_POSICION_ACTUAL_REFERENCIA,java.lang.Integer
958,TEMPERATURA_MOTOR_6,java.lang.Integer
979,TEMPERATURA_CARNERO,java.lang.Short
917,TEMPERATURA_CABEZAL,java.lang.Short
1005,EJE_6_POSICION_ACTUAL_REFERENCIA,java.lang.Integer
984,EJE_5_POSICION_ACTUAL_REFERENCIA,java.lang.Integer
1065,MANDRINO_CONSUMO_2,java.lang.Integer
1021,OP_MODE_HANDWHEEL,java.lang.Integer
1062,EJE_9_UTILIZACION_MOTOR,java.lang.Integer
996,TEMPERATURA_CARNERO_2,java.lang.Short
927,TEMPERATURA_BASE,java.lang.Short
1022,EJE_X_UTILIZACION_MOTOR,java.lang.Integer
1002,EJE_Z_UTILIZACION_MOTOR,java.lang.Integer
1019,DILATACIONES_CORRECCION_AXIAL,java.lang.Integer
965,TEMPERATURA_MOTOR_4,java.lang.Integer
1009,EJE_Y_EN_MOVIMIENTO,java.lang.Integer
1020,EJE_X_EN_POSICION,java.lang.Integer
1014,EJE_Z_EN_POSICION,java.lang.Integer
1102,CONVEYOR_1_INVERTED,java.lang.Boolean
964,PROG_RUN,java.lang.Integer
1011,EJE_Z_AVANCES_PERMITIDOS,java.lang.Integer
1012,EJE_Y_AVANCES_PERMITIDOS,java.lang.Integer
1120,SPINDLE_GEAR_CHANGE_REQUESTED,java.lang.Integer
1040,ALARMS,java.lang.String
975,DILATACIONES_CORRECCION_AXIAL_CABEZAL,java.lang.Integer
1188,TOUCH_PROBE_TYPE_S2,java.lang.Integer
1016,TOUCH_PROBE_IN_SPINDLE1,java.lang.Integer
987,FUNCION_M144,java.lang.Boolean
1033,OP_MODE_OPERATIONAL_CONTROL,java.lang.Boolean
1063,EJE_8_UTILIZACION_MOTOR,java.lang.Integer
969,CONVEYOR_1_INVERTER,java.lang.Boolean
1015,TOUCH_PROBE_IN_SPINDLE2,java.lang.Boolean
1024,HEAD_NUMBER_MODEL_INDEX1,java.lang.Byte
